
 ⛅️ wrangler 4.100.0
────────────────────
Successfully created tail, expires at 2026-06-12T13:50:11Z
Connected to videx-api, waiting for logs...
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/80371/watch/providers - Canceled @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/8973/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/49054/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/273768/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/120/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/107779/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/123/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/250033/watch/providers - Canceled @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/75834/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/71506/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/235017/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/425640/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/839033/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/204343/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/48130/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/104283/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/280084/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/121/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/127313/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/48467/watch/providers - Canceled @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/89338 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/104283 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/133653 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/107797 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/703 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/127313 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/447535/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/49054 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/80823/watch/providers - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/80371 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/273768 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/280084 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/86861 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/235017 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/109059 - Ok @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/84773/similar?page=1 - Ok @ 12/06/2026, 11:15:18
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/84773/recommendations?page=1 - Canceled @ 12/06/2026, 11:15:18
GET https://videx-api.kingbalouu.workers.dev/v1/title/tv/84773 - Ok @ 12/06/2026, 11:15:18
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/discover/tv?watch_region=GB&include_adult=false&sort_by=vote_average.desc&without_genres=10762&with_genres=10759,10765&vote_average.gte=5.739&vote_count.gte=50 - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/513824/watch/providers - Canceled @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/703/watch/providers - Canceled @ 12/06/2026, 11:15:16
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/253296/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/19/watch/providers - Canceled @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/261326/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/46298/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/272059/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1429/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/256695/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/259819/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/253296 - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/19 - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/261326 - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/259837/watch/providers - Ok @ 12/06/2026, 11:15:19
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/search/tv?query=Lord+kf&page=1&include_adult=false&language=en-GB - Ok @ 12/06/2026, 11:15:14
